product_name,sales,cumulative_revenue,cumulative_pct,abc_class
Field & Stream Sportsman 16 Gun Fire Safe,6567271.800609,6567271.800609,0.1922459768821548,A
Perfect Fitness Perfect Rip Deck,4185622.396939,10752894.197548,0.3147731222463448,A
Diamondback Women's Serene Classic Comfort Bi,3904539.823176,14657434.020724,0.429072042006623,A
Nike Men's Free 5.0+ Running Shoe,3467853.1768109202,18125287.19753492,0.530587685321108,A
Nike Men's Dri-FIT Victory Golf Polo,2976900.0,21102187.19753492,0.6177314896216116,A
Pelican Sunstream 100 Kayak,2937253.2107785,24039440.40831342,0.7037147000019092,B
Nike Men's CJ Elite 2 TD Football Cleat,2738499.4458685,26777939.85418192,0.7838797239489017,B
O'Brien Men's Neoprene Life Vest,2733006.334964,29510946.18914592,0.863883946195581,B
Under Armour Girls' Toddler Spine Surge Runni,1198620.28997584,30709566.47912176,0.8989715648526629,B
Web Camera,251786.2847345,30961352.76385626,0.9063421902423147,C
Lawn mower,244986.807866,31206339.571722258,0.9135137722373026,C
Children's heaters,219973.60375759998,31426313.17547986,0.9199531342169219,C
Porcelain crafts,209511.924994,31635825.10047386,0.926086247922555,C
Summer dresses,133808.404526,31769633.504999857,0.9300032667736338,C
Smart watch,108813.0,31878446.504999857,0.933188586662562,C
Rock music,106605.84750510001,31985052.352504957,0.9363092958272211,C
Industrial consumer electronics,102922.1619943,32087974.51449926,0.939322171215382,C
First aid kit,101098.8029325,32189073.31743176,0.9422816707947314,C
DVDs,74628.52222459999,32263701.83965636,0.9444662968607653,C
adidas Youth Germany Black/Red Away Match Soc,63210.0,32326911.83965636,0.946316664649349,C
LIJA Women's Eyelet Sleeveless Golf Polo,58110.0,32385021.83965636,0.9480177384065804,C
adidas Men's F10 Messi TRX FG Soccer Cleat,54230.961578480004,32439252.80123484,0.9496052597552396,C
Titleist Pro V1x High Numbers Personalized Go,44919.36140434,32484172.162639182,0.9509201994708912,C
Under Armour Women's Micro G Skulpt Running S,43591.21096838,32527763.37360756,0.9521962597879493,C
Nike Men's Comfort 2 Slide,42605.5305735,32570368.90418106,0.9534434659481885,C
Titleist Pro V1 High Numbers Personalized Gol,42111.90131386,32612480.80549492,0.9546762219315327,C
Men's gala suit,41537.4512017,32654018.25669662,0.9558921618417288,C
Titleist Pro V1x Golf Balls,40551.55050972,32694569.80720634,0.9570792411462741,C
Adult dog supplies,39583.60071757,32734153.40792391,0.9582379853279535,C
Titleist Pro V1x High Numbers Golf Balls,36952.30051032,32771105.70843423,0.95931970256539,C
Under Armour Men's Compression EV SL Slide,34867.2505377,32805972.958971933,0.9603403834271435,C
TYR Boys' Team Digi Jammer,33231.69060484,32839204.649576772,0.9613131859877411,C
Clicgear Rovic Cooler Bag,33031.7404511,32872236.390027873,0.9622801353396091,C
Fighting video games,31402.5,32903638.890027873,0.9631993913826561,C
Bridgestone e6 Straight Distance NFL Carolina,28311.14979752,32931950.039825395,0.9640281532817717,C
Under Armour Hustle Storm Medium Duffle Bag,28201.940593620002,32960151.980419014,0.9648537182627871,C
ENO Atlas Hammock Straps,28130.61975413,32988282.60017314,0.9656771954446561,C
Bridgestone e6 Straight Distance NFL San Dieg,27543.38983571,33015825.990008853,0.9664834824457699,C
Under Armour Women's Ignite Slide,27543.38979361,33043369.37980246,0.9672897694456513,C
Columbia Men's PFG Anchor Tough T-Shirt,26460.0,33069829.37980246,0.9680643420083141,C
Under Armour Women's Ignite PIP VI Slide,25751.94980802,33095581.32961048,0.9688181875773378,C
Nike Women's Tempo Shorts,25410.0,33120991.32961048,0.9695620231335459,C
adidas Kids' F5 Messi FG Soccer Cleat,25402.74050538,33146394.07011586,0.9703056461801034,C
Nike Men's Deutschland Weltmeister Winners Bl,25290.0,33171684.07011586,0.9710459689355738,C
Bridgestone e6 Straight Distance NFL Tennesse,23960.50978051,33195644.57989637,0.9717473730725126,C
Team Golf St. Louis Cardinals Putter Grip,22765.889784130002,33218410.469680503,0.9724138066927468,C
Team Golf Pittsburgh Steelers Putter Grip,21691.31984245,33240101.789522953,0.9730487840622822,C
Team Golf Tennessee Volunteers Putter Grip,21541.37976301,33261643.169285964,0.9736793721849706,C
LIJA Women's Mid-Length Panel Golf Shorts,21300.0,33282943.169285964,0.9743028943159123,C
Under Armour Kids' Mercenary Slide,21104.45980272,33304047.629088685,0.9749206923322771,C
Team Golf Texas Longhorns Putter Grip,20966.60985115,33325014.238939837,0.9755344550202121,C
Team Golf San Francisco Giants Putter Grip,20516.78981669,33345531.028756525,0.976135049973573,C
adidas Men's Germany Black Crest Away Tee,20450.0,33365981.028756525,0.9767336897659561,C
Bag Boy Beverage Holder,20091.95979175,33386072.988548275,0.9773218485257753,C
Merrell Women's Grassbow Sport Hiking Shoe,19898.00997882,33405970.998527095,0.9779043297268785,C
Nike Men's Free TR 5.0 TB Training Shoe,19898.00995628,33425869.008483376,0.9784868109273217,C
Under Armour Men's Tech II T-Shirt,19717.10981641,33445586.118299786,0.9790639965765584,C
Team Golf New England Patriots Putter Grip,19617.1498307,33465203.268130485,0.9796382560631989,C
Glove It Women's Mod Oval 3-Zip Carry All Gol,19593.089754110002,33484796.357884593,0.9802118112310494,C
Nike Women's Legend V-Neck T-Shirt,19150.0,33503946.357884593,0.9807723956821075,C
Brooks Women's Ghost 6 Running Shoe,18627.9300384,33522574.287922993,0.9813176974019469,C
Nike Dri-FIT Crew Sock 6 Pack,18480.0,33541054.287922993,0.9818586687155527,C
Nike Women's Free 5.0 TR FIT PRT 4 Training S,18428.05999712,33559482.34792011,0.9823981195718215,C
Elevation Training Mask 2.0,18397.69997384,33577880.04789395,0.9829366816888223,C
Garmin Approach S3 Golf GPS Watch,18249.270401499998,33596129.31829545,0.983470898776563,C
TaylorMade White Smoke IN-12 Putter,18098.18991098,33614227.50820643,0.9840006932338157,C
Glove It Women's Imperial Golf Glove,17831.0798069,33632058.58801333,0.9845226684863131,C
Nike Kids' Grade School KD VI Basketball Shoe,17798.2199782,33649856.80799153,0.9850436818218895,C
Fitbit The One Wireless Activity & Sleep Trac,17691.149841399998,33667547.957832925,0.9855615608570031,C
Top Flite Women's 2014 XL Hybrid,17131.42981488,33684679.38764781,0.9860630550177663,C
The North Face Women's Recon Backpack,16632.0,33701311.38764781,0.9865499292000115,C
Polar FT4 Heart Rate Monitor,16558.16006458,33717869.547712386,0.98703464184076,C
Bag Boy M330 Push Cart,15838.01992802,33733707.56764041,0.9874982735748172,C
